name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description
"New York City,USA",2018-06-01T00:00:00Z,26.7,17.9,21.6,26.7,17.9,21.6,19.2,86.8,0.282,100,16.67,0,0,83.5,12.6,36.9,1009.6,65.9,11.3,194,16.5,9,2018-06-01T03:27:08Z,2018-06-01T18:21:01Z,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
"New York City,USA",2018-06-02T00:00:00Z,30.6,20.7,25.1,32.9,20.7,25.9,19.8,74,0.346,100,8.33,0,0,55,22.3,31,1007.6,35.4,15.8,240.4,20.8,9,2018-06-02T03:26:43Z,2018-06-02T18:21:44Z,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
"New York City,USA",2018-06-03T00:00:00Z,21.7,12.8,17,21.7,12.8,17,12.5,75,2.929,100,12.5,0,0,37.1,24.1,96.2,1015.8,92.7,15.6,102.2,8.9,3,2018-06-03T03:26:20Z,2018-06-03T18:22:26Z,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain.
"New York City,USA",2018-06-04T00:00:00Z,23.7,11.7,16.8,23.7,11.7,16.8,12.4,76.6,221.112,100,41.67,0,0,29.5,16.7,48.4,1009.2,71.6,15.4,226,19.4,8,2018-06-04T03:25:59Z,2018-06-04T18:23:06Z,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
"New York City,USA",2018-06-05T00:00:00Z,24.2,16.1,19.8,24.2,16.1,19.8,11.7,60.7,0,0,0,0,0,37.1,25.9,283.1,1005.6,35.7,16,199.7,17.3,9,2018-06-05T03:25:40Z,2018-06-05T18:23:45Z,0.73,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-06-06T00:00:00Z,21.7,16.1,18.1,21.7,16.1,18.1,10.9,63.7,0,0,0,0,0,11.3,11.3,73.7,1011.2,89.1,15.9,184.2,16,8,2018-06-06T03:25:23Z,2018-06-06T18:24:23Z,0.75,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-06-07T00:00:00Z,21.7,16.1,18,21.7,16.1,18,12.6,71.5,0,0,0,0,0,37.1,25.9,159.3,1019.7,65.7,15.9,247.1,21.3,9,2018-06-07T03:25:08Z,2018-06-07T18:24:59Z,0.8,Partially cloudy,Partly cloudy throughout the day.
"New York City,USA",2018-06-08T00:00:00Z,27.2,16.2,21.8,27.7,16.2,21.9,15.4,69.1,0,0,0,0,0,33.5,16.2,200.6,1020.7,26.3,16,243.2,21,9,2018-06-08T03:24:55Z,2018-06-08T18:25:34Z,0.83,Partially cloudy,Becoming cloudy in the afternoon.
"New York City,USA",2018-06-09T00:00:00Z,28.7,20.6,23.5,28,20.6,23.4,14.7,59.4,0,0,0,0,0,10.6,10.6,15.2,1019.3,9.5,16,273.6,23.5,9,2018-06-09T03:24:44Z,2018-06-09T18:26:08Z,0.86,Clear,Clear conditions throughout the day.
"New York City,USA",2018-06-10T00:00:00Z,22.2,16.7,20.2,22.2,16.7,20.2,11.3,57.3,0,0,0,0,0,10.1,10.1,28.9,1017.8,90.3,16,79.2,6.8,2,2018-06-10T03:24:35Z,2018-06-10T18:26:39Z,0.9,Overcast,Cloudy skies throughout the day.
